Tipo;Quebra1;Quebra2;Ficha;Dotação;Orçado Atualizado;Mês 1;Mês 2;Mês 3;Mês 4;Mês 5;Mês 6;Mês 7;Mês 8;Mês 9;Mês 10;Mês 11;Mês 12
Analitico;0;0;402-33101.1545102011.011.4.4.90.51.1500002100;33101.1545102011.011.4.4.90.51.1500002100;40350000;3362500;0;3904375,53;4202281,43;2501591,18;0;9664702,47;0;0;0;0;0
Analitico;0;0;417-33101.1545102011.011.4.4.90.51.1754000000;33101.1545102011.011.4.4.90.51.1754000000;20000000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;429-33101.1645102131.006.4.4.90.51.1500005100;33101.1645102131.006.4.4.90.51.1500005100;1000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;439-33101.1545102131.007.4.4.90.51.1500005100;33101.1545102131.007.4.4.90.51.1500005100;1000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;455-33101.1751202141.008.4.4.90.51.1500004100;33101.1751202141.008.4.4.90.51.1500004100;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;513-33101.1751202141.009.4.4.90.51.1754000000;33101.1751202141.009.4.4.90.51.1754000000;20000000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;537-33101.1339102011.016.4.4.90.51.0191000028;33101.1339102011.016.4.4.90.51.0191000028;0;1582849,47;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;646-33101.1648202131.022.4.4.90.51.1500005100;33101.1648202131.022.4.4.90.51.1500005100;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;411-33101.1545102011.011.4.4.90.52.1500002100;33101.1545102011.011.4.4.90.52.1500002100;300000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;471-33101.1751202141.009.4.4.90.52.1500004100;33101.1751202141.009.4.4.90.52.1500004100;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;489-33101.0412204032.141.4.4.90.52.1500000000;33101.0412204032.141.4.4.90.52.1500000000;225000;0;0;0;0;0;0;0;0;0;0;0;0
