Código;Indicador;Tipo;Descrição;Saldo Anterior;D/C;Débito até mês;Crédito até mês;Saldo Atual;D/C;
123110103;P;A;APARELHOS, EQUIPAMENTOS E UTENSILIOS MEDICOS, ODONTOLOGICOS, LABORATORIAIS E HOSPITALARES ;26.514.468,54;D;9.885.841,79;46.140,00;36.354.170,33;D
123110104;P;A;APARELHOS E EQUIPAMENTOS PARA ESPORTES E DIVERSOES;201.997,88;D;0,00;0,00;201.997,88;D
123110105;P;A;EQUIPAMENTO DE PROTEÇÃO, SEGURANCA E SOCORRO;1.432.779,00;D;389.933,52;0,00;1.822.712,52;D
123110106;P;A;MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;151.470,56;D;0,00;0,00;151.470,56;D
123110107;P;A;MAQUINAS E EQUIPAMENTOS ENERGETICOS;3.518.266,20;D;82.105,37;0,00;3.600.371,57;D
123110108;P;A;MAQUINAS E EQUIPAMENTOS GRÁFICOS;981.829,00;D;0,00;0,00;981.829,00;D
123110109;P;A;MAQUINAS, FERRAMENTAS E UTENSILIOS DE OFICINA;9.153.055,77;D;0,00;0,00;9.153.055,77;D
123110112;P;A;EQUIPAMENTOS, PECAS E ACESSÓRIOS PARA AUTOMOVEIS;0,00;C;32.900,00;0,00;32.900,00;D
123110121;P;A;EQUIPAMENTOS HIDRÁULICOS E ELÉTRICOS;298.297,01;D;0,00;0,00;298.297,01;D
123110122;P;A;EQUIPAMENTOS E MATERIAIS PERMANENTES VINCULADOS A CONVÊNIO;3.437.550,17;D;0,00;0,00;3.437.550,17;D
123110199;P;A;OUTRAS MAQUINAS, APARELHOS, EQUIPAMENTOS E FERRAMENTAS;17.247.790,54;D;1.553.010,67;0,00;18.800.801,21;D
123110200;NI;S;BENS DE INFORMATICA;44.784.711,97;D;5.569.484,49;0,00;50.354.196,46;D
123110201;P;A;EQUIPAMENTOS DE PROCESSAMENTO DE DADOS;27.149.535,88;D;2.185.697,95;0,00;29.335.233,83;D
123110202;P;A;EQUIPAMENTOS DE TECNOLOGIA DA INFORMAÇÃO;17.635.176,09;D;3.383.786,54;0,00;21.018.962,63;D
123110300;NI;S;MOVEIS E UTENSILIOS;116.477.029,28;D;12.848.578,67;0,00;129.325.607,95;D
123110301;P;A;APARELHOS E UTENSILIOS DOMESTICOS;2.426.404,49;D;77.523,90;0,00;2.503.928,39;D
123110302;P;A;MAQUINAS E UTENSILIOS DE ESCRITORIO;863.899,74;D;0,00;0,00;863.899,74;D
123110303;P;A;MOBILIARIO EM GERAL;109.015.507,22;D;12.768.886,77;0,00;121.784.393,99;D
123110304;P;A;UTENSILIOS EM GERAL;4.171.217,83;D;2.168,00;0,00;4.173.385,83;D
123110400;NI;S;MATERIAIS CULTURAIS, EDUCACIONAIS E DE COMUNICAÇÃO;20.837.375,38;D;18.141.741,76;380.400,00;38.598.717,14;D
123110402;P;A;COLECOES E MATERIAIS BIBLIOGRÁFICOS;17.747.662,90;D;0,00;0,00;17.747.662,90;D
123110404;P;A;INSTRUMENTOS MUSICAIS E ARTISTICOS;133.875,09;D;0,00;0,00;133.875,09;D
123110405;P;A;EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO;2.306.204,39;D;421.464,89;4.200,00;2.723.469,28;D
123110499;P;A;OUTROS MATERIAIS CULTURAIS, EDUCACIONAIS E DE COMUNICAÇÃO;649.633,00;D;17.720.276,87;376.200,00;17.993.709,87;D
123110500;NI;S;VEICULOS;60.997.037,67;D;1.397.799,80;0,00;62.394.837,47;D
123110501;P;A;VEICULOS EM GERAL;29.907.816,27;D;1.397.799,80;0,00;31.305.616,07;D
123110503;P;A;VEICULOS DE TRAÇÃO MECANICA;31.086.705,40;D;0,00;0,00;31.086.705,40;D
123110506;P;A;EMBARCAÇÕES;2.516,00;D;0,00;0,00;2.516,00;D
123110600;P;A;PECAS E CONJUNTOS DE REPOSIÇÃO;11.500,00;D;581.500,00;0,00;593.000,00;D
123110700;NI;S;BENS MOVEIS EM ANDAMENTO;26.820,00;D;0,00;0,00;26.820,00;D
